BaseParagraphTopic,TargetParagraphTopic,Score,isAnalogy,comment
Describe the life cycle of a bird(635),Describe how oxygen reaches cells in the body(619),0,0,
Describe the life cycle of a bird(635),Describe the process of recycling an aluminum can(157),0,0,
Describe the life cycle of a bird(635),How do you use a dishwasher?(1046),0,0,
Describe the life cycle of a bird(635),What happens during erosion by the ocean?(11),0,0,
Describe the life cycle of a bird(635),How does a greenhouse stay warm?(1053),0,0,
Describe the life cycle of a bird(635),How does a battery-operated sewing machine work?(817),0,0,
Describe the life cycle of a bird(635),How do you use a dishwasher?(1047),0,0,
Describe the life cycle of a bird(635),Describe how the liver works(624),0,0,
Describe the life cycle of a bird(635),Describe how oxygen reaches cells in the body(618),0,0,
Describe the life cycle of a bird(635),How does a wind-powered power station generate electricity?(397),0,0,
Describe the life cycle of a bird(635),Describe how kidneys work(546),0,0,
Describe the life cycle of a bird(635),How does coal contribute to acid rain?(977),0,0,
Describe the life cycle of a bird(635),How do caverns form?(746),0,0,
Describe the life cycle of a bird(635),How do bees make a hive?(1131),0,0,
Describe the life cycle of a bird(635),What happens during the water cycle?(949),0,0,
Describe the life cycle of a bird(635),How are clouds formed?(222),0,0,
Describe the life cycle of a bird(635),How does a microwave oven work?(1333),0,0,
Describe the life cycle of a bird(635),Describe how to make pancakes.(1290),0,0,
Describe the life cycle of a bird(635),How does oil get from the ground to a gas station?(424),0,0,
Describe the life cycle of a bird(635),Describe the typical steps involved in camping.(1086),0,0,
Describe the life cycle of a bird(635),How do the lungs work?(140),0,0,
Describe the life cycle of a bird(635),What happens during the water cycle?(13),0,0,
Describe the life cycle of a bird(635),Describe the process of DNA replication.(1078),0,0,
Describe the life cycle of a bird(635),Describe how the pancreas works(627),0,0,
Describe the life cycle of a bird(635),How do the lungs work?(141),0,0,
Describe the life cycle of a bird(635),Describe the typical steps involved in camping.(1087),0,0,
Describe the life cycle of a bird(635),How does oil get from the ground to a gas station?(425),0,0,
Describe the life cycle of a bird(635),Describe how to make pancakes.(1291),0,0,
Describe the life cycle of a bird(635),Describe how kidneys work(545),0,0,
Describe the life cycle of a bird(635),Describe how the pancreas works(551),0,0,
Describe the life cycle of a bird(635),What happens during the water cycle?(948),0,0,
Describe the life cycle of a bird(635),Describe the process of using coal to heat a house.(960),0,0,
Describe the life cycle of a bird(635),How do caverns form?(747),0,0,
Describe the life cycle of a bird(635),How are clouds formed?(720),0,0,
Describe the life cycle of a bird(635),How does blood remove waste from the human body?(536),0,0,
Describe the life cycle of a bird(635),What happens during respiration?(293),0,0,
Describe the life cycle of a bird(635),How do you make ice cubes?(287),0,0,
Describe the life cycle of a bird(635),How do green plants get the energy they need?(330),0,0,
Describe the life cycle of a bird(635),What do lungs do?(132),0,0,
Describe the life cycle of a bird(635),How does oil get from the ground to a gas station?(873),0,0,
