BaseParagraphTopic,TargetParagraphTopic,Score,isAnalogy,comment
How are clouds formed?(721),How does a coal-powered power station generate electricity?(823),0,0,
How are clouds formed?(721),Describe how acid rain can affect the environment.(605),0,0,
How are clouds formed?(721),How does the human auditory system work?(413),0,0,
How are clouds formed?(721),Describe how squirrels prepare for winter.(1310),0,0,
How are clouds formed?(721),How do dams help stop flooding?(229),0,0,
How are clouds formed?(721),Describe the life cycle of a plant.(1106),0,0,
How are clouds formed?(721),What happens during respiration?(942),0,0,
How are clouds formed?(721),How do lungs work?(771),0,0,
How are clouds formed?(721),How do minerals form?(773),0,0,
How are clouds formed?(721),How do owls hunt at night?(1138),0,0,
How are clouds formed?(721),How does a steam engine work?(565),0,0,
How are clouds formed?(721),How do kidneys filter blood?(1299),0,0,
How are clouds formed?(721),Describe how oxygen reaches cells in the body(377),0,0,
How are clouds formed?(721),How does a bird build a nest?(1266),0,0,
How are clouds formed?(721),Describe how acid rain can affect the environment.(607),0,0,
How are clouds formed?(721),How does a dishwasher work?(1058),0,0,
How are clouds formed?(721),How does a dishwasher work?(1059),0,0,
How are clouds formed?(721),Describe the life cycle of a mushroom.(1065),0,0,
How are clouds formed?(721),How does a coal-powered power station generate electricity?(821),0,0,
How are clouds formed?(721),How does pollination happen?(1273),0,0,
How are clouds formed?(721),How do kidneys filter blood?(1298),0,0,
How are clouds formed?(721),How do lungs work?(772),0,0,
How are clouds formed?(721),How do greenhouse gases form?(996),0,0,
How do animals help plants disburse seeds?(737),What happens during photosynthesis?(938),0,0,
How do animals help plants disburse seeds?(737),How is oil formed?(1154),0,0,
How do animals help plants disburse seeds?(737),Describe the life cycle of a bird(521),0,0,
How do animals help plants disburse seeds?(737),Describe the process of pollution causing bad effects on the enviroinment.(290),0,0,
How do animals help plants disburse seeds?(737),Describe how perspiration helps to keep someone cool.(441),0,0,
How do animals help plants disburse seeds?(737),Describe the process of perspiration(496),0,0,
How do animals help plants disburse seeds?(737),Describe the process of photosynthesis(482),0,0,
How do animals help plants disburse seeds?(737),How does sedimentary rock form?(76),0,0,
How do animals help plants disburse seeds?(737),How does a nuclear power plant work?(1223),0,0,
How do animals help plants disburse seeds?(737),Describe the process of writing and posting a letter(483),0,0,
How do animals help plants disburse seeds?(737),What causs a volcano to erupt?(7),0,0,
How do animals help plants disburse seeds?(737),Describe the process of desalination(468),0,0,
How do animals help plants disburse seeds?(737),How does the stomach work?(905),0,0,
How do animals help plants disburse seeds?(737),How is oil formed?(1155),0,0,
How do animals help plants disburse seeds?(737),What happens during photosynthesis?(939),0,0,
How do animals help plants disburse seeds?(737),Describe the steps in mitosis.(1169),0,0,
How do animals help plants disburse seeds?(737),Describe how radioactive atoms decay(1151),0,0,
