BaseParagraphTopic,TargetParagraphTopic,Score,isAnalogy,comment
Describe how radioactive atoms decay(1152),Describe the process of fossilization(675),0.101,0,
Describe the life cycle of a fish(519),How are proteins synthesized in a cell?(1204),0.101,0,
Describe the life cycle of a frog(517),Describe how squirrels prepare for winter.(1310),0.101,0,
Describe the life cycle of a human(526),Describe the process of using oil to heat a house.(1028),0.101,0,
Describe the life cycle of a human(526),How does a solar panel work?(1148),0.101,0,
Describe the life cycle of a human(645),How do animals help plants disburse seeds?(739),0.101,0,
Describe the life cycle of a plant(531),Describe how radioactive atoms decay(1153),0.101,0,
Describe the life cycle of a plant(532),How do caverns form?(31),0.101,0,
Describe the life cycle of a plant(647),Describe the process of pollution causing bad effects on the enviroinment.(693),0.101,0,
Describe the life cycle of a plant(647),How do lungs work?(539),0.101,0,
Describe the life cycle of a rabbit(652),Describe the process of the greenhouse effect(701),0.101,0,
Describe the life cycle of a rabbit(652),What causes an earthquake to occur?(919),0.101,0,
Describe the process of hibernation(493),How does a coal-powered power station generate electricity?(823),0.101,0,
Describe the process of planting crops.(321),Describe how radioactive atoms decay(1153),0.101,0,
Describe the process of planting crops.(321),What do lungs do?(925),0.101,0,
Describe the process of planting crops.(690),How do lungs work?(539),0.101,0,
Describe the process of using oil to heat a house.(1030),How do kidneys filter blood?(1299),0.101,0,
Describe the process of writing and posting a letter(484),How does rain form?(877),0.101,0,
Describe the process of writing and posting a letter(484),What causes an earthquake to occur?(41),0.101,0,
Describe the process of writing and posting a letter(485),How does igneous rock form?(35),0.101,0,
Describe the process of writing and posting a letter(485),Describe how oxygen reaches cells in the body(377),0.101,0,
Describe the typical steps in repairing a flat bicycle tire.(1025),How does acid rain form?(459),0.101,0,
How are ravines formed?(731),How are proteins synthesized in a cell?(1203),0.101,0,
How do bats use echolocation?(135),Describe how radioactive atoms decay(1152),0.101,0,
How do bats use echolocation?(135),Describe the steps in taking a flight from one place to another(574),0.101,0,
How do bats use echolocation?(135),How do minerals form?(773),0.101,0,
How do bees pollinate plants?(444),How are valleys formed?(22),0.101,0,
How do forests form?(1218),How are proteins synthesized in a cell?(1204),0.101,0,
How do forests form?(1218),How does pollination happen?(1273),0.101,0,
How do plants use animals to help disburse their seeds?(254),Describe the life cycle of a frog(517),0.101,0,
How does a nuclear power plant work?(1224),How do you make ice cubes?(808),0.101,0,
How does a solar panel work?(1150),How do solar eclipses occur?(511),0.101,0,
How does an electromagnet work?(280),Describe how acid rain can affect the environment.(366),0.101,0,
How does an electromagnet work?(280),How do vaccinations work?(1099),0.101,0,
How does blood remove waste from the human body?(846),Describe the process of recycling an aluminum can(698),0.101,0,
How does oil get from the ground to a gas station?(874),How does snow form?(57),0.101,0,
How does oil get from the ground to a gas station?(874),How are mountains formed?(116),0.101,0,
How is sediment transported across the Earth?(916),How does a solar panel work?(1148),0.101,0,
How is sediment transported across the Earth?(916),Describe the steps in mitosis.(1170),0.101,0,
What happens during photosynthesis?(113),Describe how the liver works(1172),0.101,0,
